Sweden,6.10118E+11
Eswatini,4891883720
Sint Maarten (Dutch part),1735210228
Seychelles,2167239562
Syrian Arab Republic,
Turks and Caicos Islands,1745378000
Chad,20625711665
East Asia & Pacific (IDA & IBRD countries),2.22334E+13
Europe & Central Asia (IDA & IBRD countries),6.09788E+12
Togo,9925732120
Thailand,5.26411E+11
Tajikistan,14204575549
Turkmenistan,64239891739
Latin America & the Caribbean (IDA & IBRD countries),6.97749E+12
Timor-Leste,1881265333
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2.13986E+12
Tonga,
South Asia (IDA & IBRD),4.51492E+12
Sub-Saharan Africa (IDA & IBRD countries),1.9577E+12
Trinidad and Tobago,26428963758
Tunisia,53409988745
Turkey,1.32325E+12
Tuvalu,
Tanzania,78779864877
Uganda,53651874314
Ukraine,1.90741E+11
Upper middle income,3.08918E+13
Uruguay,80961511074
United States of America,2.91849E+13
Uzbekistan,1.14965E+11
St. Vincent and the Grenadines,1157207407
Venezuela,
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,4.76388E+11
Vanuatu,1161251868
World,1.11326E+14
Samoa,1068025244
Kosovo,11148602233
Yemen,
South Africa,4.00261E+11
Zambia,26325775287
Zimbabwe,44187704410
